Match ID,Team 1 P1,Team 1 P2,Team 1 P3,Team 1 P4,Team 1 P5,Team 1 P6,Team 1 P7,Team 1 P8,Team 2 P1,Team 2 P2,Team 2 P3,Team 2 P4,Team 2 P5,Team 2 P6,Team 2 P7,Team 2 P8,Team 1 Goals,Team 2 Goals,Team 1 Result,Team 2 Result
1,1,4,5,7,10,11,13,0,2,3,8,9,15,17,18,0,14,5,1,0
2,1,2,3,7,10,11,14,0,4,5,8,12,13,16,17,0,6,6,0.5,0.5
3,1,2,4,8,9,13,16,0,3,5,6,7,10,11,12,0,6,5,1,0
4,1,3,5,9,15,16,20,0,2,8,10,12,13,14,19,0,9,7,1,0
5,1,2,3,6,12,15,21,0,4,5,9,10,11,16,20,0,7,5,1,0
6,2,4,5,6,12,22,23,0,8,9,11,13,15,16,17,0,4,6,0,1
7,1,2,5,6,11,20,22,0,3,8,12,13,15,16,17,0,7,4,1,0
8,1,3,8,11,16,20,22,0,2,5,9,12,13,15,17,0,4,9,0,1
9,1,3,7,12,13,15,24,0,2,8,9,11,14,17,18,0,5,9,0,1
10,1,5,11,12,15,16,17,0,2,3,7,8,9,13,18,0,5,9,0,1
11,1,5,7,8,11,16,17,0,2,9,12,13,18,22,25,0,8,4,1,0
12,1,6,7,8,15,16,20,27,2,5,9,12,13,18,22,26,8,7,1,0
13,1,2,8,12,13,15,22,26,5,6,7,9,11,16,17,27,4,8,0,1
14,2,8,10,12,18,20,25,0,1,3,6,7,11,22,26,0,9,7,1,0
15,2,6,9,12,15,16,18,28,3,8,10,11,20,22,25,26,6,10,0,1
16,3,6,9,10,17,21,26,0,1,8,15,18,20,25,29,0,8,7,1,0
17,1,2,8,11,15,18,25,26,3,6,9,10,12,13,17,22,11,7,1,0
18,1,3,6,9,10,20,21,26,2,8,11,12,13,18,22,25,4,5,0,1
19,1,3,4,8,13,16,18,22,2,5,9,15,19,23,25,26,4,3,1,0
20,1,3,5,10,11,16,22,26,2,6,8,9,15,18,19,25,8,5,1,0
21,1,3,6,10,12,15,18,23,2,5,8,13,16,22,30,31,6,10,0,1
22,3,8,9,10,12,15,16,22,1,2,5,6,13,18,20,32,8,0,1,0
23,1,5,9,12,16,22,34,0,8,10,13,15,17,18,33,0,6,4,1,0
24,1,7,8,12,22,34,35,0,3,6,9,10,11,15,33,0,2,8,0,1
25,1,3,4,7,13,19,36,0,6,8,10,12,15,16,22,0,4,4,0.5,0.5
26,2,5,6,8,10,11,13,14,1,3,4,12,15,19,34,36,5,6,0,1
27,1,5,8,18,19,23,37,0,2,3,6,13,15,20,28,0,4,4,0.5,0.5
28,1,3,10,14,15,18,23,0,2,5,6,13,19,20,37,0,2,8,0,1
29,3,8,10,14,20,38,39,0,5,6,9,12,15,22,23,0,7,6,1,0
30,2,3,5,8,14,15,19,0,1,9,10,13,20,24,40,0,6,11,0,1
31,1,2,3,5,9,13,14,0,6,10,15,19,20,21,22,0,9,5,1,0
32,1,3,10,13,21,22,23,0,2,5,9,15,19,20,36,0,5,10,0,1
33,1,3,4,8,10,19,20,0,5,9,13,15,21,22,23,0,10,6,1,0
34,2,3,6,10,12,20,37,0,1,5,9,14,15,18,21,0,9,11,0,1
35,2,3,5,10,14,20,37,0,1,6,13,18,19,22,23,0,7,11,0,1
36,6,10,12,15,21,24,40,0,2,3,5,8,13,14,23,0,8,5,1,0
37,2,8,9,14,15,18,37,0,1,3,5,10,13,21,23,0,6,7,0,1
